School_pre,Pre,Post,Surveys,School,School_Level,School_Type,Sex,Yrs_Allstars_dummy,Grade_Level,RFJ_post,RFJ_Dic_post,RFJ_3_post,RFJ_Dic_pre,RFJ_3_pre,RFJ_Change,Grade_pre,Grade_post,Social_pre,PosID_pre,ComLearn_pre,PosVal_pre,Support_Pre,Empower_Pre,Bound_Pre,Construct_Pre,Social_post,PosID_post,ComLearn_post,PosVal_post,Support_post,Empower_post,Bound_post,Construct_post,Peer_Pre,Staff_Pre,Skill_Pre,Voice_Pre,Active_Pre,Peer_post,Staff_post,Active_post,Skill_post,Voice_post,School_Level_pre,School_Type_pre,Site_pre,RFJ_pre,RFJ_Other_pre,Yrs_Allstars_pre,Yrs_Allstars_pre_dummy,Q1_Peer_pre,Q2_Skill_pre,Q3_Staff_pre,Q4_Voice_pre,Q5_Active_pre,Q6_Voice_pre,Q7_Peer_pre,Q8_Staff_pre,Q9_Active_pre,Q10_Skill_pre,Q11_Peer_pre,Q12_Voice_pre,Q13_Active_pre,Q14_Staff_pre,Q15_Skill_pre,Q16_Peer_pre,Q17_Voice_pre,Q18_Skill_pre,Q19_Active_pre,Q20_Peer_pre,Q21_Voice_pre,Q22_Staff_pre,Q23_Skill_pre,Q24_Skill_pre,Q25_Voice_pre,Q26_Staff_pre,Q27_Voice_pre,Q28_Skill_pre,Q29_Staff_pre,Q30_Staff_pre,Q31_Staff_pre,DAP_1_pre,DAP_2_pre,DAP_3_pre,DAP_4_pre,DAP_5_pre,DAP_6_pre,DAP_7_pre,DAP_8_pre,DAP_9_pre,DAP_10_pre,DAP_11_pre,DAP_12_pre,DAP_13_pre,DAP_14_pre,DAP_15_pre,DAP_16_pre,DAP_17_pre,DAP_18_pre,DAP_19_pre,DAP_20_pre,DAP_21_pre,DAP_22_pre,DAP_23_pre,DAP_24_pre,DAP_25_pre,DAP_26_pre,DAP_27_pre,DAP_28_pre,DAP_29_pre,DAP_30_pre,DAP_31_pre,DAP_32_pre,DAP_33_pre,DAP_34_pre,DAP_35_pre,DAP_36_pre,DAP_37_pre,DAP_38_pre,DAP_39_pre,DAP_40_pre,DAP_41_pre,DAP_42_pre,DAP_43_pre,DAP_44_pre,DAP_45_pre,DAP_46_pre,DAP_47_pre,DAP_48_pre,DAP_49_pre,DAP_50_pre,DAP_51_pre,DAP_52_pre,DAP_53_pre,DAP_54_pre,DAP_55_pre,DAP_56_pre,DAP_57_pre,DAP_58_pre,Q1_Peer_post,Q2_Skill_post,Q3_Staff_post,Q4_Voice_post,Q5_Active_post,Q6_Voice_post,Q7_Peer_post,Q8_Staff_post,Q9_Active_post,Q10_Skill_post,Q11_Peer_post,Q12_Voice_post,Q13_Active_post,Q14_Staff_post,Q15_Skill_post,Q16_Peer_post,Q17_Voice_post,Q18_Skill_post,Q19_Active_post,Q20_Peer_post,Q21_Voice_post,Q22_Staff_post,Q23_Skill_post,Q24_Skill_post,Q25_Voice_post,Q26_Staff_post,Q27_Voice_post,Q28_Skill_post,Q29_Staff_post,Q30_Staff_post,Q31_Staff_post,DAP_1_post,DAP_2_post,DAP_3_post,DAP_4_post,DAP_5_post,DAP_6_post,DAP_7_post,DAP_8_post,DAP_9_post,DAP_10_post,DAP_11_post,DAP_12_post,DAP_13_post,DAP_14_post,DAP_15_post,DAP_16_post,DAP_17_post,DAP_18_post,DAP_19_post,DAP_20_post,DAP_21_post,DAP_22_post,DAP_23_post,DAP_24_post,DAP_25_post,DAP_26_post,DAP_27_post,DAP_28_post,DAP_29_post,DAP_30_post,DAP_31_post,DAP_32_post,DAP_33_post,DAP_34_post,DAP_35_post,DAP_36_post,DAP_37_post,DAP_38_post,DAP_39_post,DAP_40_post,DAP_41_post,DAP_42_post,DAP_43_post,DAP_44_post,DAP_45_post,DAP_46_post,DAP_47_post,DAP_48_post,DAP_49_post,DAP_50_post,DAP_51_post,DAP_52_post,DAP_53_post,DAP_54_post,DAP_55_post,DAP_56_post,DAP_57_post,DAP_58_post,Exclude99s_Pre,Exclude99s_Post,Exclude99s_Pre_YesNo,Exclude99s_Post_YesNo,DAP_1_pre_fix,DAP_2_pre_fix,DAP_3_pre_fix,DAP_4_pre_fix,DAP_5_pre_fix,DAP_6_pre_fix,DAP_7_pre_fix,DAP_8_pre_fix,DAP_9_pre_fix,DAP_10_pre_fix,DAP_11_pre_fix,DAP_12_pre_fix,DAP_13_pre_fix,DAP_14_pre_fix,DAP_15_pre_fix,DAP_16_pre_fix,DAP_17_pre_fix,DAP_18_pre_fix,DAP_19_pre_fix,DAP_20_pre_fix,DAP_21_pre_fix,DAP_22_pre_fix,DAP_23_pre_fix,DAP_24_pre_fix,DAP_25_pre_fix,DAP_26_pre_fix,DAP_27_pre_fix,DAP_28_pre_fix,DAP_29_pre_fix,DAP_30_pre_fix,DAP_31_pre_fix,DAP_32_pre_fix,DAP_33_pre_fix,DAP_34_pre_fix,DAP_35_pre_fix,DAP_36_pre_fix,DAP_37_pre_fix,DAP_38_pre_fix,DAP_39_pre_fix,DAP_40_pre_fix,DAP_41_pre_fix,DAP_42_pre_fix,DAP_43_pre_fix,DAP_44_pre_fix,DAP_45_pre_fix,DAP_46_pre_fix,DAP_47_pre_fix,DAP_48_pre_fix,DAP_49_pre_fix,DAP_50_pre_fix,DAP_51_pre_fix,DAP_52_pre_fix,DAP_53_pre_fix,DAP_54_pre_fix,DAP_55_pre_fix,DAP_56_pre_fix,DAP_57_pre_fix,DAP_58_pre_fix,DAP_1_post_fix,DAP_2_post_fix,DAP_3_post_fix,DAP_4_post_fix,DAP_5_post_fix,DAP_6_post_fix,DAP_7_post_fix,DAP_8_post_fix,DAP_9_post_fix,DAP_10_post_fix,DAP_11_post_fix,DAP_12_post_fix,DAP_13_post_fix,DAP_14_post_fix,DAP_15_post_fix,DAP_16_post_fix,DAP_17_post_fix,DAP_18_post_fix,DAP_19_post_fix,DAP_20_post_fix,DAP_21_post_fix,DAP_22_post_fix,DAP_23_post_fix,DAP_24_post_fix,DAP_25_post_fix,DAP_26_post_fix,DAP_27_post_fix,DAP_28_post_fix,DAP_29_post_fix,DAP_30_post_fix,DAP_31_post_fix,DAP_32_post_fix,DAP_33_post_fix,DAP_34_post_fix,DAP_35_post_fix,DAP_36_post_fix,DAP_37_post_fix,DAP_38_post_fix,DAP_39_post_fix,DAP_40_post_fix,DAP_41_post_fix,DAP_42_post_fix,DAP_43_post_fix,DAP_44_post_fix,DAP_45_post_fix,DAP_46_post_fix,DAP_47_post_fix,DAP_48_post_fix,DAP_49_post_fix,DAP_50_post_fix,DAP_51_post_fix,DAP_52_post_fix,DAP_53_post_fix,DAP_54_post_fix,DAP_55_post_fix,DAP_56_post_fix,DAP_57_post_fix,DAP_58_post_fix,Social_pre_score,PosID_pre_score,ComLearn_pre_score,PosVal_pre_score,Support_pre_score,Empower_pre_score,Bound_pre_score,Construct_pre_score,Social_pre_round,PosID_pre_round,ComLearn_pre_round,PosVal_pre_round,Support_pre_round,Empower_pre_round,Bound_pre_round,Construct_pre_round,filter_$,Social_post_score,PosID_post_score,ComLearn_post_score,PosVal_post_score,Support_post_score,Empower_post_score,Bound_post_score,Construct_post_score,Social_post_round,PosID_post_round,ComLearn_post_round,PosVal_post_round,Support_post_round,Empower_post_round,Bound_post_round,Construct_post_round,Internal_assets_pre_score,External_Assets_pre_score,Internal_Assets_pre_round,External_Assets_pre_round,Total_Assets_pre,Internal_assets_post_score,External_Assets_post_score,Internal_Assets_post_round,External_Assets_post_round,Total_Assets_post,Experiences_Post,PYD_Internal_Post,PYD_External_Post,PYD_Post,Total_Assets_Pre_4group,Total_Assets_Post_4group,School_Level_Middle,School_Level_High,Peer_post_3group,Staff_post_3group,Active_post_3group,Skill_post_3group,Voice_post_3group,Experiences_post_3group,Total_Assets_Post_ExcellentvsAll,Experiences_Pre,Experiences_pre_3groups
4,1, ,1,4,2,1,1,1, , , , ,1,1, , , ,3,3.166666667,3.714285714,3.090909091,3,3,3,3.25, , , , , , , , ,3.4,3.25,2.285714286,2.428571429,2.25, , , , , ,2,1,Edison,1, ,1,1,3,2,3,3,2,3,4,4,3,2,2,2,2,3,2,4,4,3,2,4,2,2,2,2,1,4,2,3,2,4,4,3,3,3,3,4,3,4,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.137931034, ,1,0,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,21.66666667,27.14285714,20.90909091,20,20,20,22.5,20,22,27,21,20,20,20,23,1, , , , , , , , , , , , , , , , ,22.5,20.75,23,21,44, , , , , , , , , ,3, ,1,0, , , , , , , ,2.722857143,2
1,1, ,1,1,2,1,1,1,6, , , ,0,2, ,6, ,2.5,2.333333333,2.142857143,2.4,2.571428571,2.2,2.5,2.666666667, , , , , , , , ,2.2,2.5,2.714285714,2,2.5, , , , , ,2,1,Belvedere,5,I wanted to do sports,1,1,3,4,3,3,3,2,2,3,3,3,3,2,2,2,3,2,2,3,2,1,1,3,3,1,1,2,3,2,2,2,3,1,1,4,2,2,3,1,3,1,2,1,2,2,2,3,3,3,3,2,3,2,3,3,3,2,3,2,3,2,3,88,2,99,3,3,88,2,1,3,2,3,3,3,2,88,2,4,1,2,3,2,4,2,4,1,3,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.407407407, ,1,0,0,0,3,1,1,2,0,2,0,1,0,1,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,88,1,99,2,2,88,1,0,2,1,2,2,2,1,88,1,3,0,1,2,1,3,1,3,0,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,13.33333333,11.42857143,14,15.71428571,12,15,16.66666667,15,13,11,14,16,12,15,17,1, , , , , , , , , , , , , , , , ,13.25,15,13,15,28, , , , , , , , , ,1, ,1,0, , , , , , , ,2.382857143,2
3,2,2,3,3,2,2,2,1,6,99, ,99,0,99, ,6,6,3.625,3.833333333,3.714285714,3.818181818,4,3.666666667,3.777777778,3.5,4,4,4,4,4,4,3.75,4,3.2,4,3.857142857,3.714285714,4,4,4,4,4,4,2,2,CRMA 4,8,"2, 4, 5, 7",1,1,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,2,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,88,4,4,4,3.75862069,3.964912281,1,1,3,3,3,2,1,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,88,3,3,3,26.25,28.33333333,27.14285714,28.18181818,30,26.66666667,27.77777778,25,26,28,27,28,30,27,28,25,1,30,30,30,30,30,30,27.5,30,30,30,30,30,30,30,28,30,27.25,27.5,27,28,55,30,29.5,30,30,60,4,4,3.9375,3.96875,4,4,1,0,3,3,3,3,3,3,1,3.754285714,3
3,2,2,3,3,2,2,2,2,7,4,0,2,1,1,3,7,7,3.5,3.666666667,2.714285714,3.909090909,3.285714286,3,2.333333333,3.75,3.875,3.833333333,3.714285714,3.7,3.571428571,3.166666667,2.888888889,3.5,2.4,3.125,3.142857143,2.571428571,3,1.6,1.125,1.5,1.142857143,1,2,2,CRMA 4,2, ,2,2,4,3,2,3,3,2,1,3,3,3,2,2,2,4,4,3,3,3,4,2,1,4,3,3,4,4,3,3,3,3,2,4,4,4,4,3,3,2,4,4,3,2,4,4,4,4,4,3,3,4,4,3,4,4,4,4,2,2,3,3,4,4,4,4,3,4,4,3,2,4,4,4,4,2,3,3,1,4,1,3,3,4,3,3,4,1,3,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,99,3,3,4,4,4,4,3,4,3,3,1,4,1,4,3,4,3,2,4,1,4,3,4,3.25862069,3.526315789,1,1,3,3,3,3,2,2,1,3,3,2,1,3,3,3,3,3,2,2,3,3,2,3,3,3,3,1,1,2,2,3,3,3,3,2,3,3,2,1,3,3,3,3,1,2,2,0,3,0,2,2,3,2,2,3,0,2,0,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,3,3,99,2,2,3,3,3,3,2,3,2,2,0,3,0,3,2,3,2,1,3,0,3,2,3,25,26.66666667,17.14285714,29.09090909,22.85714286,20,13.33333333,27.5,25,27,17,29,23,20,13,28,1,28.75,28.33333333,27.14285714,27,25.71428571,21.66666667,18.88888889,25,29,28,27,27,26,22,19,25,24.5,21,25,21,46,27.75,23,28,23,51,1.273571429,3.780654762,3.281746032,3.531200397,3,4,1,0,1,1,1,1,1,1,1,2.847857143,2
4,2,2,3,4,2,1,2,1,6,1,1,1,0,2,2,6,6,4,3.5,3.714285714,3.818181818,3.857142857,3.666666667,3.888888889,3.5,2.625,3,2.142857143,3.181818182,4,3.666666667,3.444444444,2.75,3.2,4,3.571428571,3.285714286,4,1.5,2,3,2,1.5,2,1,Edison,5, ,1,1,3,4,4,4,4,3,3,4,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,2,2,2,3,1,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,4,4,2,1,1,2,1,4,2,2,4,4,1,2,2,4,4,2,3,4,4,2,4,3,3,3,3,4,3,3,4,3,4,3,4,4,3,3,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,3.775862069,3.120689655,1,1,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,0,0,1,0,3,1,1,3,3,0,1,1,3,3,1,2,3,3,1,3,2,2,2,2,3,2,2,3,2,3,2,3,3,2,2,0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,2,3,30,25,27.14285714,28.18181818,28.57142857,26.66666667,28.88888889,25,30,25,27,28,29,27,29,25,1,16.25,20,11.42857143,21.81818182,30,26.66666667,24.44444444,17.5,16,20,11,22,30,27,24,18,27.5,27.5,28,28,56,17.25,24.75,17,25,42,2,2.737418831,3.465277778,3.101348304,4,3,1,0,1,1,2,1,1,1,0,3.611428571,3
6,1, ,1,6,2,1,2, ,6, , , , ,99, ,6, ,3.5,3.6,3.714285714,3.5,3.857142857,4,3.444444444,4, , , , , , , , ,3.8,4,4,3.571428571,4, , , , , ,2,1,Griffith,99, ,99, ,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,99,3,3,4,4,3,4,4,4,3,3,4,4,3,3,4,4,4,99,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,3,4,2,4,4,3,4,4,4,4,4,4,3,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.660714286, ,1,0,3,2,3,2,2,3,3,3,99,2,2,3,3,2,3,3,3,2,2,3,3,2,2,3,3,3,99,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,2,3,1,3,3,2,3,3,3,3,3,3,2,3,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25,26,27.14285714,25,28.57142857,30,24.44444444,30,25,26,27,25,29,30,24,30,1, , , , , , , , , , , , , , , , ,25.75,28.25,26,28,54, , , , , , , , , ,4, ,1,0, , , , , , , ,3.874285714,3
6,1, ,1,6,2,1,2,1,6, , , ,0,2, ,6, ,2.625,2.833333333,2.857142857,3.090909091,2.857142857,3.333333333,1.875,2.25, , , , , , , , ,3,2.75,2.714285714,3.142857143,2.5, , , , , ,2,1,Griffith,4, ,1,1,99,3,3,4,3,4,3,3,3,4,3,3,2,2,3,3,3,3,2,3,2,2,2,2,2,3,4,2,2,3,4,3,3,4,3,3,2,3,4,4,2,2,3,4,2,2,4,4,3,2,3,3,3,3,3,3,3,3,2,4,3,3,3,4,3,1,4,4,3,3,1,2,2,2,2,2,2,3,4,3,1,1,1,3,3,1,2,99,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.736842105, ,1,0,2,2,3,2,2,1,2,3,3,1,1,2,3,1,1,3,3,2,1,2,2,2,2,2,2,2,2,1,3,2,2,2,3,2,0,3,3,2,2,0,1,1,1,1,1,1,2,3,2,0,0,0,2,2,0,1,99,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16.25,18.33333333,18.57142857,20.90909091,18.57142857,23.33333333,8.75,12.5,16,18,19,21,19,23,9,13,1, , , , , , , , , , , , , , , , ,18.5,16,19,16,35, , , , , , , , , ,2, ,1,0, , , , , , , ,2.821428571,2
4,1, ,1,4,2,1, ,1, , , , ,0,2, , , ,3.25,3.166666667,3.571428571,2.909090909,3.714285714,3,3.666666667,3.5, , , , , , , , ,3.6,3.625,3.714285714,3.428571429,3.5, , , , , ,2,1,Edison,4, ,1,1,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,2,2,4,4,3,3,3,4,3,3,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,3,4,3,3,2,2,3,3,3,3,3,4,4,1,3,3,4,4,1,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.327586207, ,1,0,2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,3,2,3,2,2,1,1,2,2,2,2,2,3,3,0,2,2,3,3,0,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.5,21.66666667,25.71428571,19.09090909,27.14285714,20,26.66666667,25,23,22,26,19,27,20,27,25,1, , , , , , , , , , , , , , , , ,22.5,24.75,23,25,48, , , , , , , , , ,3, ,1,0, , , , , , , ,3.573571429,3
3,1, ,1,3,2,2,1, ,8, , , , ,99, ,8, ,4,3.833333333,3.714285714,3.909090909,4,3.833333333,4,3.75, , , , , , , , ,4,4,4,4,4, , , , , ,2,2,CRMA 4,99, ,99, ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.896551724, ,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30,28.33333333,27.14285714,29.09090909,30,28.33333333,30,27.5,30,28,27,29,30,28,30,28,1, , , , , , , , , , , , , , , , ,28.5,29,29,29,58, , , , , , , , , ,4, ,1,0, , , , , , , ,4,3
3,2,2,3,3,2,2,1,1,6,4,0,2,0,2,4,6, ,3.63,3.83,4,4,4,4,3.67,4,4,4,4,4,4,4,4,4,2.6,3.88,3.29,3,2.75,4,4,4,4,4,2,2,CRMA 4,4, ,1,1,4,4,4,3,3,2,3,4,4,4,4,3,1,4,2,1,4,4,3,1,99,4,4,1,3,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.879310345,4,1,1,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26.25,28.33333333,30,30,30,30,26.66666667,30,26,28,30,30,30,30,27,30,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28.5,29.25,29,29,58,30,30,30,30,60,4,4,4,4,4,4,1,0,3,3,3,3,3,3,1,3.104,3
