pnum,ospan,symspan,rspan,color,shape,space,orient,motion,colorK,shapek,raven,ns,cf,rel2,anti,drop48,picsource,pa,dfrp,ospanrt,symspanrt,rspanrt
1,53,31,57,0.8,0,4.14,0,1.48,0.84,0.12,9,11,32,0.06,0.6,-0.13,0.75,0.33,0.6,2844,1424,3934
2,64,17,53,2.06,1.24,4.81,0.96,1.03,1.44,0.42,10,8,35,0.06,0.69,1.87,0.58,0.8,0.9,2319,1999,2218.5
3,53,34,32,0,1,3.59,1.16,0.78,1.5,1.02,4,9,27,0.11,0.47,1.47,0.84,0.47,0.43,5257,1803,6348.5
4,53,21,48,2.6,2.97,4.53,1.57,0.92,0.24,0.36,9,7,37,0.19,0.42,0,0.74,0.5,0.47,4739,2138,4182
5,60,34,62,4.43,2.16,5.4,2.83,0.73,2.4,2.52,10,10,32,-0.03,0.73,-0.13,0.88,0.27,0.47,2867,1805,2683
6,65,17,57,3.14,1.21,5.07,1.65,0.73,1.5,1.02,6,6,35,0.24,0.55,1.97,0.69,0.53,0.52,2456.5,1497,2348
7,58,23,63,1.28,1.71,4.84,1.34,1.77,2.7,2.94,8,5,28,0.07,0.69,0,0.63,0.47,0.62,3665,2686,4528.5
10,60,27,69,2.82,0,4.98,1.61,1.86,1.5,1.44,11,11,30,0.3,0.62,0.13,0.83,0.67,0.57,2652,2236,3849
12,70,35,69,2.53,3.23,5.38,2.62,1.48,2.1,2.7,11,12,31,0.02,0.7,-1.2,0.7,0.63,0.53,2573,1674,3028
13,66,33,70,3.07,3.06,4.56,2.95,2.46,2.04,0.84,14,14,36,0.03,0.67,-0.13,0.95,0.3,0.7,2091.5,1343,3256.5
14,45,11,53,2.77,1.98,5.39,1.98,1.72,1.38,0.96,5,9,32,0.04,0.6,-0.4,0.83,0.33,0.52,2858,1832,2483
15,75,33,65,3.4,3.72,5.7,3.72,3.4,2.46,2.7,16,13,45,-0.04,0.82,-1.47,0.89,0.57,0.58,2374.5,1647,3078
16,55,24,51,0.53,2.35,2.89,1.97,1.19,1.2,0.48,5,9,35,0.05,0.53,0,0.76,0.57,0.68,4347,2770,5195.5
17,64,25,48,2.43,1.12,5.02,1.12,0,1.32,1.62,12,7,34,0.1,0.43,0.67,0.59,0.43,0.52,3412.5,2082,4206
18,53,32,67,2.91,2.79,5.34,2.2,0.89,2.57,1.03,8,4,27,0.06,0.32,1.92,0.65,0.43,0.4,5748,4722,4103
20,65,33,64,2.5,1.68,5.68,1.65,1.53,1.2,0.15,12,13,32,0.11,0.48,-0.07,0.68,0.2,0.6,2317.5,1361,3674.5
21,55,30,38,3.38,4.42,5.09,2.51,1.45,1.74,2.46,11,7,34,0.04,0.62,0,0.84,0.77,0.67,2502,1676,3825
22,73,34,67,2.38,3.62,5.06,3.5,4.82,1.5,2.46,9,14,37,0.04,0.78,-0.13,0.87,0.7,0.52,3965,1620.5,3186
